"star1","imdb_rating","meta_score"
"Alexandra Maria Lara","8.2",82
"Harriet Andersson","8.0",60
"Soha Ali Khan","8.2",76
"Viggo Mortensen","8.9",94
"Tatsuya Nakadai","8.2",96
"Gene Kelly","8.1",75
"Aoi Yûki","8.4",79
"Madeline Kahn","8.0",80
"Edward Furlong","8.5",75
"Bárbara Lennie","8.1",76
"Kim Yoon-seok","7.8",64
"Bill Murray","7.7",89
"Louis Hofmann","7.8",75
"Olivia Cooke","7.8",81
"Craig Ferguson","7.8",76
"Hanno Pöschl","8.1",77
"Harry Crocker","8.1",90
"Tatsuya Fujiwara","7.6",80
"Enzo Tarascio","8.0",100
"Edward Arnold","8.1",73
"Güven Kiraç","7.9",78
"Charlie Pye Jr.","7.6",68
"Bill Murray","7.9",83
"Kayoko Kishimoto","7.8",76
"Temuera Morrison","7.9",77
"John Williams","8.2",75
"Katrin Cartlidge","7.8",76
"Taapsee Pannu","8.1",76
"Tom Hanks","7.8",82
"Hee-won Kim","7.8",76
"Jean Arthur","8.1",73
"Yoshiaki Umegaki","7.8",73
"Janet Leigh","8.0",99
"Thomas Mann","7.7",74
"Siu-Lung Leung","7.7",78
"Caitriona Balfe","8.1",81
"Frédérique Feder","8.1",100
"Jay Baruchel","8.1",86
"Boris Karloff","7.8",91
"André Ramiro","8.0",71
"Dave Johns","7.9",78
"Forest Whitaker","7.7",74
"Iko Uwais","8.0",71
"Cameron Diaz","7.8",84
"Brad Pitt","8.6",65
"Nicolas Cage","7.6",62
"Ramesh Deo","8.4",76
"Tatsuya Fujiwara","7.7",76
"Max Riemelt","7.6",76
"Barbara Stanwyck","8.3",95
"Rani Mukerji","7.8",67
"Rachel Shelley","8.1",84
"Lena Nyman","8.2",76
"Ben Hardy","8.0",49
"David James","7.9",81
"Michael Douglas","7.6",56
"Natalie Dessay","7.7",70
"Kirk Douglas","8.0",76
"Errol Flynn","7.9",97
"Emma Thompson","7.6",84
"Kareena Kapoor","7.8",76
"Wagner Moura","8.0",33
"Akemi Yamaguchi","8.5",94
"Akshay Kumar","8.1",76
"Robert Armstrong","7.9",90
"Rudolf Klein-Rogge","8.3",98
"Laurence Fishburne","7.8",76
"Terence Alexander","7.8",80
"Mia Farrow","7.9",90
"Robin Williams","8.3",70
"Lilly Wachowski","8.7",73
"Marion Mack","8.1",76
"Matt Damon","8.1",81
"Rooney Mara","8.0",90
"Rob Minkoff","8.5",88
"Julie Delpy","8.1",90
"Melissa Leo","7.8",79
"Toshirô Mifune","8.4",76
"Gemma Jones","7.7",85
"Milla Jovovich","7.7",52
"Ulrich Thomsen","8.0",82
"Crispin Glover","8.5",87
"Herb Edelman","7.7",86
"Jon Hamm","7.6",86
"Mark Ruffalo","8.4",78
"Philip Seymour Hoffman","7.6",68
"Anthony Edwards","7.7",78
"Denholm Elliott","8.2",65
"Aleksandr Kaydanovskiy","8.2",76
"Halvar Björk","8.2",76
"Emile Hirsch","8.1",73
"Tatsuya Fujiwara","7.6",81
"Suraj Sharma","7.9",79
"Jack Carson","8.0",76
"Celeste Holm","8.2",98
"Penelope Allen","8.0",86
"Brad Davis","7.6",59
"Katie A. Keane","8.0",50
"Anna Kendrick","7.6",72
"Nargis Fakhri","7.7",76
"Rod Steiger","7.6",77
"Cate Blanchett","7.8",70
"Anand Gandhi","8.3",76
"Leland Orser","7.8",51
"Sam Rockwell","8.2",88
"John Wayne","8.1",94
"Michael Keaton","8.1",93
"Willem Dafoe","7.8",44
"Nils Poppe","8.2",88
"Kirk Douglas","7.9",87
"John Rhys-Davies","8.4",85
"Hilary Swank","8.1",86
"Neeraj Kabi","8.2",76
"Arnold Schwarzenegger","7.8",45
"Stanislas Carré de Malberg","8.0",88
"Patricia Arquette","7.9",100
"Marty Feldman","8.0",80
"Tatsuya Nakadai","8.1",76
"Aamir Bashir","8.1",76
"Christopher Eccleston","7.6",73
"Ian Holm","7.7",52
"Max Schreck","7.9",76
"George C. Scott","7.9",91
"Teo Briones","7.7",73
"Ansiba","8.3",76
"Curt Bois","8.0",79
"Richa Chadha","8.2",89
"Nathan Fillion","7.8",74
"Franka Potente","7.7",73
"Celia Johnson","8.0",92
"Mohit Raina","8.2",76
"Jean Simmons","7.9",87
"Vidya Malvade","8.2",68
"Miles Teller","7.6",72
"Amy Poehler","8.1",94
"Tim Allen","8.3",95
"Elliott Gould","7.6",87
"Michael Rennie","7.7",76
"Michel Auclair","7.8",80
"Fengyi Zhang","8.1",76
"Gael García Bernal","8.4",81
"Gary Farmer","7.6",62
"Adrian Molina","8.4",81
"Bob Peterson","8.2",88
"Jean-Paul Belmondo","7.8",76
"Kermit the Frog","7.7",64
"Kathryn McGuire","8.2",76
"Dennis Farina","8.3",55
"Marco Giallini","7.8",76
"Yoo-Jeong Kim","7.8",64
"James Marsden","8.0",89
"Mahesh Manjrekar","8.1",76
"Boluwatife Treasure Bankole","8.4",75
"Christopher Mintz-Plasse","8.1",75
"Leonardo DiCaprio","8.5",85
"Mary Elizabeth Mastrantonio","8.3",65
"Bradley Cooper","7.7",81
"Kang Hye-jeong","8.4",77
"Walter Hampden","7.7",72
"Mark Ruffalo","7.6",73
"Jude Law","7.6",53
"Steve Carell","7.8",80
"Robert Downey Jr.","7.9",79
"Kenneth Branagh","7.7",76
"Martin Landau","7.9",77
"Spencer Tracy","8.2",60
"James Stewart","8.1",96
"Claire Maurier","8.1",76
"Jack Nicholson","8.4",66
"Vladas Bagdonas","8.3",76
"Andy Serkis","7.6",79
"Ricardo Montalban","7.6",76
"Sakshi Tanwar","8.4",76
"Farhan Akhtar","8.2",76
"Charles Laughton","7.9",87
"Bae Doona","7.6",56
"Martin Balsam","9.0",96
"Nick Frost","7.9",76
"Isabelle Adjani","7.7",71
"Miranda Richardson","7.7",62
"Maggie Grace","7.8",51
"Mark Ruffalo","7.7",78
"Roman Polanski","7.7",71
"Karlheinz Böhm","7.7",76
"Tilda Swinton","7.7",83
"Scarlett Johansson","7.9",94
"Mikkel Boe Følsgaard","7.8",75
"Mary Stuart Masterson","7.7",64
"Lou Romano","8.0",96
"Ian Hendry","7.7",91
"Anne Baxter","7.9",76
"Ian McKellen","8.7",87
"Honor Blackman","7.7",87
"Ralph Bellamy","7.9",76
"Adèle Haenel","8.1",95
"Gary Oldman","8.4",78
"Deniz Baysal","8.3",76
"Dennis Quaid","7.8",91
"Cary Elwes","7.6",46
"Anna Massey","7.7",76
"Samantha Morton","7.6",67
"Madeleine Stowe","8.0",74
"Evan Rachel Wood","7.9",80
"Giuseppe Battiston","7.8",76
"Artyom Bogucharskiy","7.8",82
"Amy Ryan","7.7",63
"Paul McGann","7.7",84
"Gong Li","8.1",76
"Misha Meskhi","8.2",73
"Patricia Arquette","7.9",59
"Terry Jones","8.2",91
"Toshirô Mifune","8.1",76
"Jackie Gleason","8.0",90
"Jacqueline Andere","8.1",76
"Brendan Gleeson","8.1",85
"Holmes Osborne","8.0",88
"Peter Lorre","8.3",76
"Gerard Butler","7.6",52
"Emma Stone","8.0",94
"Ossie Davis","8.0",93
"Domhnall Gleeson","7.9",80
"Bill McKinney","7.8",69
"Bengt Ekerot","8.2",88
"Johnny Depp","7.9",74
"Bill Nighy","7.8",81
"Karina Arroyave","7.7",66
"Shahid Kapoor","8.1",76
"Jane Fonda","7.6",68
"Val Kilmer","7.8",50
"Gattlin Griffith","7.7",63
"Bertil Guve","8.1",100
"Hye-ja Kim","7.8",79
"Doug McKeon","7.6",68
"Jodie Foster","8.3",94
"Richard E. Grant","7.7",84
"Freida Pinto","8.0",84
"Emma Watson","8.0",67
"Aleksey Serebryakov","7.6",92
"Sam Elliott","7.8",50
"Oscar Isaac","7.9",80
"Daniel Kaluuya","7.7",85
"Alan Arkin","7.7",86
"Beverly D'Angelo","8.5",62
"Arnold Schwarzenegger","8.0",84
"Faye Dunaway","7.8",86
"Will Smith","7.6",36
"Alec Baldwin","7.7",82
"Mark Rylance","7.6",81
"Rob Maxey","7.7",72
"Sandy Dennis","8.0",75
"Vijay Raaz","8.0",65
"Frances McDormand","7.9",90
"Ryan Hurst","7.8",48
"Brad Pitt","7.6",83
"Leslie Cheung","8.1",76
"Lil Dagover","8.1",76
"Sara Takatsuki","7.7",72
"Morgan Freeman","7.8",78
"Heath Ledger","7.7",87
"Mila Kunis","8.0",79
"John Boyega","7.9",80
"Roy Kinnear","7.8",67
"Mark Boone Junior","8.4",80
"Andrew Robinson","7.7",90
"May Whitty","7.8",98
"Marius Goring","8.1",76
"George Clooney","7.7",74
"Christian Bale","8.4",78
"Nanako Matsushima","7.7",72
"Sully Boyar","8.0",86
"Suzanne Clément","8.1",74
"Patrick McGoohan","8.3",68
"Alexander Gould","8.1",90
"Chris Evans","8.0",69
"Juliette Lewis","7.8",73
"Christian Berkel","7.7",60
"Ralph Macchio","7.6",68
"Eileen Walsh","7.7",83
"Miki Imai","7.6",90
"Kyle MacLachlan","7.7",76
"Ryûnosuke Kamiki","7.6",80
"Walter Brennan","7.8",76
"George Cukor","8.1",97
"Kurt Russell","8.1",57
"Kang-ho Song","8.6",96
"Sabrina Ferilli","7.8",86
"Natalie Portman","8.0",79
"Hubert Koundé","8.1",76
"Anthony Michael Hall","7.9",74
"Jae Head","7.6",53
"Scarlett Johansson","7.7",89
"Lisa Spoonauer","7.7",70
"Edward James Olmos","8.1",84
"Michelle Dockery","7.8",51
"David Morse","8.0",61
"Eddie Redmayne","7.8",77
"Simon Pegg","7.9",82
"Jan Sterling","8.1",72
"Machiko Kyô","8.2",98
"Rani Mukerji","8.2",76
"Lisa Haydon","8.2",76
"Lucy Liu","7.7",53
"George Peppard","7.6",76
"Tarô Yamamoto","7.6",81
"Celile Toyon Uysal","8.3",76
"Bryan Cranston","7.7",86
"Audrey Hepburn","7.8",95
"Emilio Echevarría","8.1",83
"Bahar Pars","7.7",70
"Matthew Broderick","7.8",78
"Kristen Wiig","8.0",80
"Frances Conroy","8.5",59
"Ileana D'Cruz","8.1",76
"Ansel Elgort","7.6",86
"Tim Robbins","9.3",80
"Sarah Silverman","7.7",72
"Nick Offerman","7.7",74
"Dustin Hoffman","8.0",83
"Nikolay Sergeev","8.1",76
"Lars Ranthe","7.8",81
"Setsuko Hara","8.2",76
"Julianne Nicholson","8.0",69
"Charles Ruggles","7.8",91
"Jeffrey Jones","7.8",61
"Vicky Kaushal","8.2",76
"Srdjan 'Zika' Todorovic","8.1",73
"Kara Hayward","7.8",84
"Bob Geldof","8.1",47
"Dita Parlo","8.1",76
"Daniel Radcliffe","7.6",78
"Yacef Saadi","8.1",96
"Donald Sutherland","7.7",86
"François Berléand","7.9",56
"Natalie Portman","8.2",62
"Simon Yam","8.0",59
"Giorgio Cantarini","8.6",59
"Tatsuya Nakadai","8.2",76
"Adil Hussain","7.8",76
"Jesse Borrego","8.0",47
"Brad Pitt","7.6",87
"Aaron Eckhart","9.0",84
"Tugba Sunguroglu","7.6",83
"Gena Rowlands","7.8",53
"Anupam Kher","7.8",76
"Rosanna Arquette","7.7",90
"Tom Hardy","8.0",76
"Ian McKellen","7.8",66
"Scarlett Johansson","7.7",70
"Tommy Lee Jones","7.8",87
"Gerard Butler","7.8",76
"Ethan Hawke","8.1",90
"Graham Chapman","8.2",91
"Robert De Niro","8.3",94
"Lloyd Bridges","7.9",89
"Jeff Bridges","8.1",71
"Matt Damon","7.6",80
"Yukito Nishii","7.8",76
"Philip Chan","7.8",76
"Bridget Moynahan","7.6",62
"Julie Christie","7.7",76
"Quinton Aaron","7.6",53
"Jon Voight","7.7",80
"Jennifer Drake","7.8",73
"Kong Chu","7.8",82
"Sidney Blackmer","8.0",96
"Saurabh Shukla","8.0",84
"John Huston","8.1",92
"Leonardo DiCaprio","7.6",83
"Moritz Bleibtreu","8.0",76
"Richard Attenborough","8.1",68
"Samantha Morton","7.7",76
"Don Cheadle","8.1",79
"John Cleese","8.2",91
"David Thewlis","7.8",84
"Thandie Newton","7.7",66
"Florence Pugh","7.8",91
"Chris Evans","8.4",78
"Mick Lally","7.6",81
"Justin Henry","7.8",77
"Jeff Cohen","7.8",62
"Rene Russo","7.9",76
"Jake Gyllenhaal","7.9",76
"Cho Jin-woong","8.1",84
"Famke Janssen","7.8",51
"Andy Devine","7.8",93
"Elya Baskin","7.7",54
"Michelle Pfeiffer","8.3",65
"Billy Crudup","7.9",90
"Mads Mikkelsen","7.7",78
"Bill Pullman","7.6",73
"Irandhir Santos","8.0",71
"Greg Cruttwell","7.8",84
"Vijay Varma","8.0",65
"Romolo Valli","7.6",77
"Tabu","7.9",79
"Mary Steenburgen","7.8",73
"Teresa Palmer","8.1",71
"Saoirse Ronan","7.8",91
"Graham Norton","8.1",83
"Lionel Barrymore","8.6",89
"Treat Williams","8.4",76
"Hee Jae","8.0",72
"Gerardo Taracena","7.8",68
"Cathy Rosier","8.1",76
"Graham Chapman","8.1",77
"Orto Ignatiussen","7.7",96
"Eli Wallach","7.7",74
"Josh Brolin","7.6",72
"Robert Mitchum","8.0",99
"Tommy Lee Jones","8.1",91
"Julia Stiles","8.0",85
"Dean Martin","8.0",93
"Yoshiko Shinohara","8.5",94
"Ozan Güven","8.0",76
"Ginnifer Goodwin","7.8",72
"Alec Guinness","8.3",100
"Dylan Baker","7.7",81
"Shelley Duvall","8.4",66
"John Mahoney","7.7",47
"Clint Eastwood","8.0",65
"Lazar Ristovski","8.1",76
"Judi Dench","8.0",80
"Montgomery Clift","7.6",85
"Penélope Cruz","7.6",52
"Johnny Depp","7.8",73
"Michael Kenneth Williams","8.1",96
"Julianne Moore","8.1",71
"Catherine Keener","7.8",82
"James McAvoy","7.7",65
"Laura Linney","8.1",90
"Humphrey Bogart","7.7",91
"Michael Biehn","8.3",84
"Rob Reiner","7.9",92
"Jon Bernthal","8.1",81
"Sigourney Weaver","7.8",71
"Pablo Rago","8.2",80
"Sarah Polley","7.8",63
"Armin Mueller-Stahl","7.7",87
"Douglas Booth","7.8",62
"Nikolay Burlyaev","8.1",76
"Madhavan","8.4",67
"Ian McKellen","8.8",92
"Zeppo Marx","7.8",93
"Charles Fleischer","7.7",83
"John Payne","7.9",88
"Shilpa Shukla","8.2",68
"Leandro Firmino","8.6",79
"Al Pacino","7.9",94
"Saif Ali Khan","8.1",76
"T.J. Miller","8.0",65
"Alec Guinness","8.1",87
"Megumi Hayashibara","8.1",76
"Tisca Chopra","8.4",76
"Scarlett Johansson","7.8",75
"Barbara Hershey","7.6",56
"George Macready","8.4",90
"Antoine Olivier Pilon","8.1",74
"Kate Winslet","7.7",76
"Thierry Lhermitte","7.7",73
"Ho-jin Chun","7.8",67
"Edward Norton","7.7",87
"Raghuvir Yadav","8.1",84
"François Cluzet","8.5",57
"Dennis Price","8.0",76
"Harpo Marx","7.9",76
"Hiromasa Yonebayashi","7.7",72
"Noah Emmerich","8.1",90
"Jyoti Malshe","8.3",76
"Chris Pratt","8.0",76
"Kim Young-Min","8.0",85
"John Billingsley","7.9",76
"Jerry Nelson","7.6",74
"Carla Gugino","7.6",56
"Justin Bartha","7.7",73
"Lee Grant","7.9",75
"Cary Grant","7.9",76
"Linda Manz","7.8",93
"Bill Nighy","7.7",65
"Efrem Zimbalist Jr.","7.8",81
"John Rafter Lee","7.7",62
"Dave Bautista","8.0",81
"Pushkar","8.4",76
"Aras Bulut Iynemli","8.3",76
"Ralph Richardson","7.6",64
"Ramon Bieri","7.8",93
"Vincent Price","8.0",76
"Steve Carell","7.8",81
"Robert Patrick","8.5",75
"Amir Farrokh Hashemian","8.3",77
"Anil Dhawan","8.3",76
"Robert Mitchum","8.0",76
"Vincent Cassel","8.0",79
"Vin Diesel","8.0",85
"Donatas Banionis","8.1",90
"Michael Gambon","8.1",85
"Marisa Berenson","8.1",89
"Nawazuddin Siddiqui","7.8",76
"Sylvester Stallone","8.1",70
"Rima Te Wiata","7.9",81
"Janet Leigh","7.9",94
"Lena Headey","7.6",52
"Benjamin Bratt","8.0",47
"Nancy Olson","8.4",76
"Toni Collette","8.1",76
"Frank Lovejoy","8.0",76
"Barbara Bel Geddes","8.3",100
"Ljubica Adzovic","8.2",76
"Benicio Del Toro","7.6",70
"Rachel McAdams","7.7",81
"Russell Crowe","7.8",84
"John Boles","7.8",91
"Tom Hanks","7.9",88
"Radhika Apte","8.3",76
"Jonah Hill","8.2",75
"Maryana Spivak","7.6",86
"Kate Winslet","8.3",89
"Saif Ali Khan","8.0",54
"Robert De Niro","7.8",80
"Roman Madyanov","7.6",92
"Mélissa Désormeaux-Poulin","8.3",80
"Mary McDonnell","8.0",72
"Ugur Yücel","8.2",76
"Marilyn Ghigliotti","7.7",70
"Chiara Mastroianni","8.0",90
"Martin Stringer","8.2",93
"Li Sun","7.6",70
"Jack McBrayer","7.7",72
"Chishû Ryû","8.2",76
"Jack Warden","7.9",84
"Alec Secareanu","7.7",85
"Robby Benson","8.0",95
"Meena","8.3",76
"Catherine Deneuve","7.7",91
"Cary Elwes","7.8",78
"Maurice Evans","8.0",79
"Ananda George","7.6",73
"Dianne Wiest","7.7",28
"Michelle Williams","7.7",87
"Takeshi Aono","7.9",76
"Hayley Squires","7.9",78
"Patrick Stewart","7.9",75
"Shigesato Itoi","8.2",86
"Roberto Benigni","7.8",75
"Michelle La","7.6",71
"Jin Goo","7.8",79
"Archana Jois","8.2",76
"Amy Ryan","7.6",81
"Keiju Kobayashi","8.1",76
"Irene Miracle","7.6",59
"Jim Sturgess","7.8",49
"Moira Shearer","8.1",76
"Shriya Saran","8.2",76
"Lee J. Cobb","9.0",96
"Lee Pace","7.9",64
"Salim Kechiouche","7.7",89
"Chiwetel Ejiofor","7.9",84
"Björk","8.0",61
"Clark Gable","8.1",97
"Steven Bauer","8.3",65
"Michael Sheen","7.7",80
"Ernest B. Schoedsack","7.9",90
"George C. Scott","8.0",90
"Don Rickles","8.3",95
"Mohammad Amir Naji","8.3",77
"Katharine Hepburn","7.9",76
"Brenda Blethyn","8.0",91
"Zack Gottsagen","7.6",70
"Viggo Mortensen","7.9",72
"Olga Baclanova","7.9",80
"Karen Morley","7.8",87
"Peter Sellers","8.0",83
"Ben Kingsley","7.7",53
"Julie Delpy","7.9",85
"James Stewart","8.0",73
"Margaret Wycherly","8.1",76
"Mervyn LeRoy","8.0",92
"Justin Braine","7.7",87
"John Roselius","7.6",52
"Ramachandra Raju","8.2",76
"Elena Lyadova","7.6",92
"Joseph Cotten","7.8",94
"Valerie Hobson","8.0",76
"Prabhas","8.0",76
"Hugh Walsh","7.8",88
"Richard Harris","7.6",64
"Gillian Anderson","7.7",74
"Porter Hall","8.1",72
"Matthew McConaughey","7.8",51
"Robert De Niro","7.9",94
"Carlo Buccirosso","7.8",86
"Michelle Reis","7.7",71
"Denzel Washington","7.6",74
"Eun-ju Lee","8.1",64
"Keith David","8.1",57
"Ciarán Hinds","8.2",93
"Priya Anand","7.8",76
"Shammi Kapoor","7.7",76
"Don Cheadle","7.7",66
"Marlon Brando","8.1",91
"Adolphe Menjou","8.4",90
"Lesley Sharp","7.8",84
"Diane Venora","7.8",84
"Brady Corbet","7.6",73
"Michael Biehn","8.0",84
"John Hodiak","7.6",78
"Donald O'Connor","8.3",99
"Yoshiyuki Takei","7.9",61
"Ricky Nelson","8.0",93
"Rachel McAdams","7.8",55
"Adrien Brody","8.1",88
"Javier Bardem","7.7",81
"Chris O'Donnell","8.0",59
"Karen Allen","8.4",85
"Aya Okamoto","7.8",73
"Bryce Dallas Howard","8.0",62
"Jeff Bridges","7.6",80
"Hardy Krüger","8.1",89
"Tony Roberts","8.0",92
"America Ferrera","7.6",68
"Matthew McConaughey","7.6",78
"Frederic Forrest","8.4",94
"Jared Gilman","7.8",84
"Trevor Howard","8.0",92
"Octavia Spencer","7.8",74
"Emmanuel Affadzi","7.7",79
"Keenan Wynn","8.4",97
"Martin Freeman","7.8",81
"Eddie Albert","8.0",78
"Melinda Dillon","7.6",90
"Jeff Bridges","7.6",72
"Edmund Goulding","7.9",76
"Fredric March","8.0",93
"Chazz Palminteri","7.8",80
"Jack Lemmon","8.0",72
"Daniel Giménez Cacho","7.6",88
"Shah Rukh Khan","8.1",76
"Ayesha Kapoor","8.2",76
"Joe Russo","7.8",75
"Edward Furlong","8.5",62
"Jan Josef Liefers","8.0",76
"Diane Ladd","7.8",68
"Ryan Reynolds","7.7",66
"Reginald VelJohnson","8.2",72
"Robert Cummings","8.2",75
"Demi Moore","7.7",62
"André Ramiro","8.0",33
"Amira Casar","7.9",93
"Dafne Keen","8.1",77
"Helen Hunt","7.8",73
"Sô Yamamura","8.2",76
"Baki Davrak","7.8",85
"Katharine Hepburn","7.8",91
"Chloë Grace Moretz","7.6",66
"Sal Mineo","7.7",89
"Daniel Craig","7.9",82
"Nina Petri","7.6",77
"William Powell","8.0",86
"Irving Metzman","7.7",75
"Maggie Cheung","8.1",85
"Rosie Shaw","7.9",67
"Rock Hudson","7.6",84
"Antonella Attili","8.5",80
"Claudia Cardinale","8.5",80
"Brad Pitt","7.6",49
"Liesel Matthews","7.7",83
"Toshirô Mifune","8.6",98
"Gary Stretch","7.6",52
"Arshad Warsi","8.1",76
"Ethan Coen","7.7",66
"James Caan","9.2",100
"Michael Bates","8.3",77
"Stephen Baldwin","8.5",77
"Robert Shaw","8.3",83
"John McGiver","7.8",79
"Jared Leto","7.6",62
"Sarah Miles","7.6",82
"Ki-duk Kim","8.0",85
"Daniel Day-Lewis","8.1",84
"Julian Dennison","7.7",66
"Dave Bautista","7.6",67
"Michael McKean","7.9",92
"Clint Eastwood","7.6",50
"Robin Williams","8.1",79
"Frank Langella","7.7",80
"Jake Gyllenhaal","8.1",70
"John Goodman","7.7",86
"Hugh Bonneville","7.8",88
"Lee Unkrich","8.1",90
"Aldo Silvani","8.0",76
"Richard Jenkins","7.6",79
"Rosemarie DeWitt","8.0",94
"Sergi López","8.2",98
"Sanya Malhotra","8.0",76
"Lea Massari","7.9",76
"Omar Sharif","8.0",69
"William Sadler","9.3",80
"Greg Kinnear","7.7",67
"Pete Postlethwaite","8.1",84
"Agnes Moorehead","8.3",100
"Julie Delpy","7.6",88
"Tamannaah Bhatia","8.2",76
"Chieko Baishô","8.2",80
"Michael Gambon","7.6",78
"José Lewgoy","8.1",76
"Elizabeth Berrington","7.9",67
"Omar Sy","8.5",57
"Richard Griffiths","7.9",82
"Gary Oldman","8.5",64
"Roland Møller","7.8",75
"Ed Harris","8.1",90
"Liam Cunningham","7.7",83
"Marianne Koch","8.0",65
"Joel Edgerton","8.2",71
"Rosario Dawson","7.6",36
"Ansel Elgort","7.7",69
"Stephen Tobolowsky","8.0",72
"Kate Winslet","7.8",75
"Don Gordon","8.0",58
"Vera Miles","8.1",94
"Chiwetel Ejiofor","8.1",96
"Dan Riba","7.8",76
"Gary Lockwood","8.3",84
"Vincent Cassel","8.1",76
"Sandra Milo","8.0",91
"Philippe Noiret","7.7",81
"Jeffrey Ho","8.2",76
"Sandra Bullock","7.6",53
"Bruce Davison","7.7",79
"Ranveer Singh","8.0",65
"Jesse Eisenberg","7.7",95
"Ziyi Zhang","7.8",94
"Jared Leto","8.0",80
"Peter Ostrum","7.8",67
"Matt Damon","8.6",91
"Song Wok-suk","8.0",76
"Denzel Washington","7.8",76
"Kamatari Fujiwara","8.1",76
"Jessie Royce Landis","8.3",98
"Rosemary Murphy","8.2",88
"Mia Farrow","7.7",75
"Vladimir Vdovichenkov","7.6",92
"Grigoriy Aleksandrov","8.0",97
"Julie Andrews","8.0",63
"Vinícius de Oliveira","8.0",80
"Christopher Plummer","8.2",72
"Dorothy Comingore","8.3",100
"Don Rickles","7.6",50
"Natalie Portman","8.5",64
"Carla Quevedo","8.2",80
"Tom Hanks","8.3",95
"Christopher Lloyd","7.7",83
"James Mason","7.7",77
"Christian Slater","7.7",54
"Stanley Holloway","8.0",92
"Michael Caine","8.2",70
"Tom Hanks","7.6",81
"Rupert Graves","8.2",62
"Elizabeth McGovern","8.4",76
"Brad Garrett","8.0",96
"Werner Krauss","8.1",76
"Stefania Sandrelli","8.0",100
"Dominique Pinon","7.6",76
"Cary Grant","8.3",98
"Kerry Washington","7.7",74
"Hisako Kyôda","8.1",86
"María Mercedes Villagra","7.9",80
"Bradley Cooper","7.7",73
"Polly Bergen","7.7",76
"Oscar Isaac","7.7",78
"Michelle Monaghan","7.6",72
"Tom Berenger","7.7",69
"Harry Myers","8.5",99
"Chazz Palminteri","8.5",77
"Brigitte Helm","8.3",98
"Elissa Knight","8.4",95
"William Atherton","7.7",55
"Leigh Whannell","7.6",46
"Kevin Costner","7.9",79
"Ryan Gosling","7.8",81
"François Périer","8.1",76
"Eli Marienthal","8.0",85
"Gunnar Björnstrand","8.2",88
"Jean-Claude Donda","7.8",91
"Matthew Goode","8.0",73
"Viola Davis","8.0",62
"Robert Sean Leonard","8.1",79
"Bette Davis","8.2",98
"Anna Kendrick","7.6",68
"Jamie Foxx","8.1",83
"Kim Novak","8.3",100
"Giorgi Nakashidze","8.2",73
"George Clooney","7.7",96
"Edward Norton","8.8",66
"Gene Lockhart","7.9",88
"Woody Allen","7.9",83
"Dustin Hoffman","7.8",79
"Cybill Shepherd","8.0",93
"King Donovan","7.7",92
"Patricia Arquette","7.8",70
"Keira Knightley","8.0",73
"Benjamin Bratt","8.4",81
"Kim Hunter","8.0",97
"Joe Pesci","8.2",89
"Craig T. Nelson","7.6",80
"Diljit Dosanjh","7.8",76
"Vladislav Dvorzhetskiy","8.1",90
"Ethan Hawke","7.9",100
"David Zucker","7.7",78
"Tim Roth","8.3",79
"Tom Cruise","7.7",62
"Tsutomu Tatsumi","8.5",94
"Maurice Schutz","8.1",76
"Taner Birsel","7.9",82
"Tom Hardy","8.4",78
"Peter Dinklage","7.6",81
"Tôru Furuya","7.7",81
"Elisabeth Shue","7.6",73
"Ken'ichi Matsuyama","7.7",76
"Ellen Widmann","8.3",76
"Branka Katic","8.1",73
"Max Phipps","7.6",77
"Jerzy Stuhr","7.6",88
"Sebastian Koch","7.7",71
"Ayberk Pekcan","8.1",88
"Richard Crenna","7.7",61
"Cori Gonzalez-Macuer","7.7",76
"Sterling Hayden","8.0",91
"Chen Chang","7.8",94
"Kagiso Kuypers","8.0",64
"Jack Nicholson","7.7",62
"Tahar Rahim","7.9",90
"Michael Caine","8.5",66
"Abhay Deol","8.1",76
"Farida Jalal","8.1",76
"William Holden","7.9",97
"Max von Sydow","8.0",81
"James McAvoy","7.9",75
"Rene Bitorajac","7.9",84
"Ulrich Tukur","7.8",82
"Chris Sarandon","8.0",82
"Yoko Honna","7.9",75
"Phillip Terry","7.9",76
"Farhan Akhtar","8.1",76
"Joseph Calleia","8.0",99
"Hitoshi Takagi","8.2",86
"Wendell Corey","8.4",100
"Helena Rojo","7.9",76
"Lea Thompson","7.8",57
"Billy Zane","7.8",75
"Geraldine Chaplin","8.0",69
"Eleanor Parker","8.0",63
"Abhay Deol","8.0",76
"Kazunari Ninomiya","7.9",89
"Maria Doyle Kennedy","7.9",79
"John Hillerman","8.1",77
"Joseph Cotten","8.1",97
"Kim Sang-kyung","8.1",82
"Alida Valli","8.1",97
"John Lone","7.7",76
"Susumu Terajima","7.8",76
"Cecilia Roth","7.8",87
"John Goodman","7.9",89
"Ray Liotta","8.7",90
"Julie Delpy","8.1",77
"Leonardo DiCaprio","7.8",75
"Tigmanshu Dhulia","8.2",89
"Martin Landau","7.8",70
"Jake Gyllenhaal","8.0",88
"Mads Mikkelsen","8.3",77
"Zac Mattoon O'Brien","7.8",55
"Cary-Hiroyuki Tagawa","8.1",76
"Margot Robbie","8.2",75
"Irrfan Khan","7.8",76
"Sam Rockwell","7.7",80
"Richard Basehart","8.0",76
"Stephen Young","7.9",91
"Harshaali Malhotra","8.0",76
"Matthew Modine","8.3",76
"Christian Bale","8.5",66
"Brie Larson","8.0",82
